X,Y,x,y,SYMBOLS,NO_IDX,CLR_IDX,NM_LEMBAR,NO_LEMBAR,PROJECT,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1,Shape_Leng,Shape_Area
102.1020626,-1.941084714,102.1020626,-1.941084714,Pm,38,#808000,MUARA BUNGO,914,SUMAROX,Formasi Mengkarang,Mengkarang Formation,Sediment: clastic: sandstone,Sedimentation: neritic: shallow,Sedimentation: neritic: shallow,PERMIAN,0.608096953,7.92E-03
102.0097959,-1.884073154,102.0097959,-1.884073154,Pp,39,#556B2F,BANGKO,913,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,4.549844225,6.72E-02
102.1032293,-1.890702097,102.1032293,-1.890702097,Pp,39,#556B2F,MUARA BUNGO,914,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,0.619540347,2.36E-03
102.8069965,-1.027727755,102.8069965,-1.027727755,Pp,39,#556B2F,PAINAN,814,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,6.04E-02,8.32E-05
101.2629722,-1.114235252,101.2629722,-1.114235252,Pp,39,#556B2F,PAINAN,914,SUMAROX,Formasi Palepat,Palepat Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,EARLY PERMIAN,1.195871471,8.27E-03
100.7975416,-0.750006685,100.7975416,-0.750006685,Ps2,40,#66CDAA,SOLOK,815,SUMAROX,Formasi Silungkang,Silungkang Formatrion,Extrusive: intermediate: polymict,Volcanism: submarine,Volcanism: submarine,PERMO-CARBONACEOUS,1.1624561,6.01E-03
100.7812281,-0.737356969,100.7812281,-0.737356969,Psl,41,#8FBC8B,SOLOK,815,SUMAROX,Anggota Batugamping Formasi Silungkang,Silungkang Formation,Sediment: clastic: limestone,Littoral,Littoral,PERMO-CARBONACEOUS,0.485565223,1.25E-03
102.0848559,-1.95832901,102.0848559,-1.95832901,pTab,42,#20B2AA,MUARA BUNGO,914,SUMAROX,Andesit dan Basalt,,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,CRETACEOUS,0.201398578,4.65E-04
102.025727,-1.920807114,102.025727,-1.920807114,pTdb,43,#008B8B,MUARA BUNGO,914,SUMAROX,Diabas,Diabase,Intrusive: mafic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,CRETACEOUS,0.147446601,4.20E-04
101.5245173,-0.770238534,101.5245173,-0.770238534,Puku,44,#008080,PAKANBARU,816,SUMAROX,Formasi Kuantan,Kuantan Formation,Metamorphic: phyllite,Metamorphism: regional: low-grade,Metamorphism: regional: low-grade,PERMO-CARBONACEOUS,15.02156404,0.24236995
102.7291965,-2.248745622,102.7291965,-2.248745622,Qa,45,#1DDDF2,BANGKO,913,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,5.603741032,8.26E-02
104.4520148,-0.586131434,104.4520148,-0.586131434,Qa,45,#1DDDF2,DABO,1015,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,4.074001019,2.01E-02
104.2118188,-1.50916764,104.2118188,-1.50916764,Qa,45,#1DDDF2,JAMBI,1014,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,10.46961335,0.350128654
102.1981925,-1.179950259,102.1981925,-1.179950259,Qa,45,#1DDDF2,MUARA BUNGO,814,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,0.812152449,5.00E-03
101.9943979,-1.605192818,101.9943979,-1.605192818,Qa,45,#1DDDF2,MUARA BUNGO,914,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,,5.54E-02,1.17E-04
101.9964666,-1.539633118,101.9964666,-1.539633118,Qa,45,#1DDDF2,MUARA BUNGO,914,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,10.91878874,7.25E-02
103.7014784,-1.108737519,103.7014784,-1.108737519,Qa,45,#1DDDF2,PADANG,1715,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,1.474409816,1.42E-02
104.6655361,-2.441867604,104.6655361,-2.441867604,Qa,45,#1DDDF2,PALEMBANG,1013,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,1.318014825,1.02E-02
100.9989669,-2.119291344,100.9989669,-2.119291344,Qa,45,#1DDDF2,SUNGAIPENUH,813,SUMAROX,Alluvium,Alluvium,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,9.958357967,0.140369204
103.3759011,-0.658770307,103.3759011,-0.658770307,Qac,46,#D8BFD8,RENGAT,915,SUMAROX,Endapan aluvium dan pantai,Alluvial and coastal deposites,Sediment: clastic: alluvium,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,UPPER PLEISTOCENE,5.55642597,4.78E-02
101.9412431,-1.183288731,101.9412431,-1.183288731,Qal,47,#DA70D6,PAINAN,814,sum-0814,Alluvium,Alluvium,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,HOLOCENE,12.44260345,0.156912759
100.9860653,-2.195350855,100.9860653,-2.195350855,Qas,48,#FF00FF,SUNGAIPENUH,813,SUMAROX,Endapan Danau,Swamp Deposite,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,2.360901818,4.42E-02
101.5372665,-1.009760076,101.5372665,-1.009760076,Qat2,49,#FFFFE0,PAINAN,814,SUMAROX,Undak Alluvium,Alluvium Terraces,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,0.354508764,3.64E-03
103.7691728,-1.24729071,103.7691728,-1.24729071,Qb,50,#ffc0cb,JAMBI,1014,SUMAROX,Lava Basal,Basaltic Lava,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,PLEISTOCENE,9.12E-02,4.85E-04
100.7629416,-0.734617522,100.7629416,-0.734617522,qd,51,#FFFACD,SOLOK,815,SUMAROX,Diorit Kuarsa,Quartz Diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,TRIASSIC,0.403502294,1.16E-03
102.2580105,-0.918768223,102.2580105,-0.918768223,Qf,52,#FAFAD2,RENGAT,915,SUMAROX,Kipas Aluvium,Piedmont fan,Sediment: clastic: conglomerate,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,0.366441488,1.33E-03
100.7712307,-0.856476404,100.7712307,-0.856476404,Qf,52,#FAFAD2,SOLOK,815,SUMAROX,Kipas Aluvium,Piedmont fan,Sediment: clastic: conglomerate,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,0.758346598,1.21E-02
101.8756601,-2.401145351,101.8756601,-2.401145351,Qhvma,53,#F08080,SUNGAIPENUH,813,SUMAROX,Gunungapi Masurai,Masurai Volcanics,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,UPPER PLEISTOCENE,3.13704578,0.118257485
102.6021713,-1.587873487,102.6021713,-1.587873487,Qoa,54,#FFA07A,PAINAN,814,SUMAROX,Undifferentiated Volcanic Breccia,Undifferentiated Volcanic Breccia,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,HOLOCENE,0.741894205,2.10E-02
